Block,Cursor,A,W,EW,D,MT,Errors
1,Bubble Cursor,256,8,3,0,0.6534,0
1,Bubble Cursor,512,8,3,1,0.9026,0
1,Bubble Cursor,512,8,2,1,0.8481,0
1,Bubble Cursor,512,16,2,0.5,0.6564,0
1,Bubble Cursor,512,8,1.33,0.5,0.8948,0
1,Bubble Cursor,512,8,2,0.5,0.8479,0
1,Bubble Cursor,512,32,3,0.5,0.951,0
1,Bubble Cursor,256,8,2,0,0.9838,0
1,Bubble Cursor,256,16,2,1,0.8237,0
1,Bubble Cursor,512,16,3,0.5,0.8955,0
1,Bubble Cursor,256,32,3,1,0.5354,0
1,Bubble Cursor,256,8,2,1,0.8139,0
1,Bubble Cursor,512,32,3,0,0.6233,0
1,Bubble Cursor,512,32,1.33,0.5,0.6552,0
1,Bubble Cursor,256,16,1.33,0,0.564,0
1,Bubble Cursor,256,16,1.33,0.5,0.8312,0
1,Bubble Cursor,512,16,1.33,0,0.7907,0
1,Bubble Cursor,256,16,1.33,1,0.7645,0
1,Bubble Cursor,256,32,3,0,0.5276,0
1,Bubble Cursor,256,32,1.33,1,0.6718,0
1,Bubble Cursor,256,8,1.33,0.5,0.8031,0
1,Bubble Cursor,256,32,2,0,0.54,0
1,Bubble Cursor,512,16,1.33,1,1.1074,0
1,Bubble Cursor,512,16,1.33,0.5,0.9503,0
1,Bubble Cursor,256,16,3,0.5,0.8177,0
1,Bubble Cursor,256,16,2,0,0.5859,0
1,Bubble Cursor,512,16,3,1,0.6158,0
1,Bubble Cursor,256,8,3,0.5,0.7243,0
1,Bubble Cursor,512,32,3,1,1.0885,1
1,Bubble Cursor,256,16,3,0,0.5754,0
1,Bubble Cursor,512,8,3,0,0.7834,0
1,Bubble Cursor,512,16,2,0,0.5501,0
1,Bubble Cursor,512,32,2,0,0.521,0
1,Bubble Cursor,256,8,1.33,1,0.5765,0
1,Bubble Cursor,512,8,2,0,1.0074,0
1,Bubble Cursor,512,16,3,0,0.6877,0
1,Bubble Cursor,512,32,2,0.5,0.6988,0
1,Bubble Cursor,512,8,1.33,1,1.0403,0
1,Bubble Cursor,512,32,1.33,0,0.7768,0
1,Bubble Cursor,512,32,2,1,0.8005,0
1,Bubble Cursor,256,8,3,1,0.6889,0
1,Bubble Cursor,512,16,2,1,0.8164,0
1,Bubble Cursor,256,32,2,0.5,0.6758,0
1,Bubble Cursor,256,16,3,1,1.1557,0
1,Bubble Cursor,512,32,1.33,1,0.6597,0
1,Bubble Cursor,256,32,3,0.5,0.621,0
1,Bubble Cursor,512,8,1.33,0,1.0861,0
1,Bubble Cursor,256,32,1.33,0,0.8319,0
1,Bubble Cursor,256,8,2,0.5,1.2167,1
1,Bubble Cursor,256,32,1.33,0.5,0.6595,0
1,Bubble Cursor,512,8,3,0.5,0.8872,0
1,Bubble Cursor,256,8,1.33,0,0.595,0
1,Bubble Cursor,256,16,2,0.5,0.7878,0
1,Bubble Cursor,256,32,2,1,0.7442,0
2,Bubble Cursor,256,8,3,1,0.9105,0
2,Bubble Cursor,512,8,3,0.5,0.6804,0
2,Bubble Cursor,512,16,2,1,1.014,1
2,Bubble Cursor,256,16,1.33,1,0.8069,0
2,Bubble Cursor,256,16,2,0,0.901,1
2,Bubble Cursor,512,16,1.33,0.5,0.74,0
2,Bubble Cursor,512,8,2,0,0.7085,0
2,Bubble Cursor,512,32,1.33,1,1.1049,1
2,Bubble Cursor,512,32,2,0.5,0.7531,0
2,Bubble Cursor,512,32,2,1,0.5828,0
2,Bubble Cursor,256,16,2,0.5,0.8258,0
2,Bubble Cursor,256,16,1.33,0,0.9245,1
2,Bubble Cursor,512,32,3,1,1.0162,0
2,Bubble Cursor,256,16,3,1,0.4691,0
2,Bubble Cursor,512,32,1.33,0,0.6726,0
2,Bubble Cursor,256,32,1.33,0.5,0.5434,0
2,Bubble Cursor,512,8,1.33,0,1.1554,0
2,Bubble Cursor,256,8,3,0.5,0.7299,0
2,Bubble Cursor,512,16,3,0.5,0.5753,0
2,Bubble Cursor,256,8,2,0,0.6722,0
2,Bubble Cursor,512,8,2,0.5,1.2557,0
2,Bubble Cursor,512,16,2,0.5,0.6529,0
2,Bubble Cursor,512,16,3,0,0.7351,0
2,Bubble Cursor,256,8,2,1,0.9277,0
2,Bubble Cursor,256,8,1.33,0,0.9453,0
2,Bubble Cursor,256,32,2,1,0.4953,0
2,Bubble Cursor,512,8,3,0,0.6691,0
2,Bubble Cursor,256,8,1.33,0.5,0.7644,0
2,Bubble Cursor,512,8,2,1,1.0174,0
2,Bubble Cursor,512,8,1.33,1,1.0461,0
2,Bubble Cursor,512,16,1.33,1,0.8583,0
2,Bubble Cursor,256,8,3,0,0.9634,1
2,Bubble Cursor,512,32,1.33,0.5,0.6049,0
2,Bubble Cursor,512,32,3,0,1.198,1
2,Bubble Cursor,256,16,1.33,0.5,0.7044,0
2,Bubble Cursor,256,32,3,0.5,0.6954,0
2,Bubble Cursor,512,16,2,0,0.8491,0
2,Bubble Cursor,256,8,2,0.5,0.8482,0
2,Bubble Cursor,512,32,2,0,0.5356,0
