cursor,block,recorded,combo_index,A,W,EW,selection_index,movement_time_s,errors
bubble,1,True,0,384,8,64,1,0.791,0
bubble,1,True,0,384,8,64,2,0.8327,0
bubble,1,True,0,384,8,64,3,0.9361,0
bubble,1,True,0,384,8,64,4,0.6952,0
bubble,1,True,0,384,8,64,5,0.7737,0
bubble,1,True,1,192,8,96,1,1.0425,0
bubble,1,True,1,192,8,96,2,0.5272,0
bubble,1,True,1,192,8,96,3,0.4401,0
bubble,1,True,1,192,8,96,4,0.5842,0
bubble,1,True,1,192,8,96,5,0.6253,1
bubble,1,True,2,384,16,96,1,1.0303,0
bubble,1,True,2,384,16,96,2,1.1439,0
bubble,1,True,2,384,16,96,3,0.7349,0
bubble,1,True,2,384,16,96,4,0.7201,0
bubble,1,True,2,384,16,96,5,0.7083,0
bubble,1,True,3,768,24,96,1,1.1453,0
bubble,1,True,3,768,24,96,2,0.9985,0
bubble,1,True,3,768,24,96,3,0.8001,0
bubble,1,True,3,768,24,96,4,0.632,0
bubble,1,True,3,768,24,96,5,0.8962,0
bubble,1,True,4,384,8,32,1,2.1887,1
bubble,1,True,4,384,8,32,2,0.8799,0
bubble,1,True,4,384,8,32,3,0.9035,0
bubble,1,True,4,384,8,32,4,1.2954,1
bubble,1,True,4,384,8,32,5,1.1286,0
bubble,1,True,5,384,24,96,1,1.1962,1
bubble,1,True,5,384,24,96,2,0.7366,0
bubble,1,True,5,384,24,96,3,0.6014,0
bubble,1,True,5,384,24,96,4,0.7577,0
bubble,1,True,5,384,24,96,5,0.5207,0
bubble,1,True,6,192,24,96,1,1.1361,0
bubble,1,True,6,192,24,96,2,0.5641,0
bubble,1,True,6,192,24,96,3,0.6468,0
bubble,1,True,6,192,24,96,4,0.4493,0
bubble,1,True,6,192,24,96,5,0.4483,0
bubble,1,True,7,768,8,96,1,2.3477,0
bubble,1,True,7,768,8,96,2,1.2804,0
bubble,1,True,7,768,8,96,3,1.1033,0
bubble,1,True,7,768,8,96,4,1.4172,0
bubble,1,True,7,768,8,96,5,1.0069,0
bubble,1,True,8,768,16,96,1,1.97,1
bubble,1,True,8,768,16,96,2,0.9123,0
bubble,1,True,8,768,16,96,3,0.595,0
bubble,1,True,8,768,16,96,4,1.0773,0
bubble,1,True,8,768,16,96,5,0.8093,0
bubble,1,True,9,768,24,32,1,0.9797,0
bubble,1,True,9,768,24,32,2,0.8835,0
bubble,1,True,9,768,24,32,3,0.8598,0
bubble,1,True,9,768,24,32,4,0.9119,0
bubble,1,True,9,768,24,32,5,0.8326,0
bubble,1,True,10,192,24,32,1,1.3235,0
bubble,1,True,10,192,24,32,2,0.6955,0
bubble,1,True,10,192,24,32,3,0.6011,0
bubble,1,True,10,192,24,32,4,0.7186,0
bubble,1,True,10,192,24,32,5,0.6909,0
bubble,1,True,11,768,8,64,1,2.0541,1
bubble,1,True,11,768,8,64,2,0.9471,0
bubble,1,True,11,768,8,64,3,0.7019,0
bubble,1,True,11,768,8,64,4,0.7613,0
bubble,1,True,11,768,8,64,5,0.7606,0
bubble,1,True,12,768,24,64,1,1.1258,0
bubble,1,True,12,768,24,64,2,0.8856,0
bubble,1,True,12,768,24,64,3,0.8398,0
bubble,1,True,12,768,24,64,4,1.041,0
bubble,1,True,12,768,24,64,5,0.8161,0
bubble,1,True,13,768,16,32,1,1.291,0
bubble,1,True,13,768,16,32,2,1.4723,0
bubble,1,True,13,768,16,32,3,1.2406,0
bubble,1,True,13,768,16,32,4,0.7922,0
bubble,1,True,13,768,16,32,5,1.0956,0
bubble,1,True,14,384,24,32,1,1.0363,0
bubble,1,True,14,384,24,32,2,0.8246,0
bubble,1,True,14,384,24,32,3,1.0382,0
bubble,1,True,14,384,24,32,4,0.7242,0
bubble,1,True,14,384,24,32,5,0.7717,0
bubble,1,True,15,384,16,64,1,0.8976,0
bubble,1,True,15,384,16,64,2,1.0825,0
bubble,1,True,15,384,16,64,3,0.7849,0
bubble,1,True,15,384,16,64,4,1.0087,0
bubble,1,True,15,384,16,64,5,0.7587,0
bubble,1,True,16,384,16,32,1,1.3637,0
bubble,1,True,16,384,16,32,2,0.761,0
bubble,1,True,16,384,16,32,3,0.9188,0
bubble,1,True,16,384,16,32,4,0.9278,0
bubble,1,True,16,384,16,32,5,0.9365,0
bubble,1,True,17,192,8,32,1,1.7838,0
bubble,1,True,17,192,8,32,2,0.4667,0
bubble,1,True,17,192,8,32,3,0.7051,0
bubble,1,True,17,192,8,32,4,0.7046,0
bubble,1,True,17,192,8,32,5,0.7792,0
bubble,1,True,18,768,16,64,1,2.0963,0
bubble,1,True,18,768,16,64,2,2.0471,0
bubble,1,True,18,768,16,64,3,0.8408,0
bubble,1,True,18,768,16,64,4,0.8408,0
bubble,1,True,18,768,16,64,5,0.9995,0
bubble,1,True,19,192,16,32,1,1.3232,0
