cursor,block,recorded,combo_index,A,W,EW,selection_index,movement_time_s,errors
point,1,True,0,768,24,96,1,1.3719,0
point,1,True,0,768,24,96,2,1.656,0
point,1,True,0,768,24,96,3,1.0396,0
point,1,True,0,768,24,96,4,1.3719,0
point,1,True,0,768,24,96,5,0.9486,0
point,1,True,1,192,16,32,1,1.3721,0
point,1,True,1,192,16,32,2,1.1922,0
point,1,True,1,192,16,32,3,1.0405,0
point,1,True,1,192,16,32,4,0.8947,0
point,1,True,1,192,16,32,5,0.7809,0
point,1,True,2,768,16,96,1,1.6881,0
point,1,True,2,768,16,96,2,1.0966,0
point,1,True,2,768,16,96,3,1.0632,0
point,1,True,2,768,16,96,4,1.8803,0
point,1,True,2,768,16,96,5,1.2157,0
point,1,True,3,384,16,96,1,1.3076,0
point,1,True,3,384,16,96,2,1.3455,0
point,1,True,3,384,16,96,3,1.1587,0
point,1,True,3,384,16,96,4,1.2173,0
point,1,True,3,384,16,96,5,0.7996,0
point,1,True,4,192,24,32,1,0.9397,0
point,1,True,4,192,24,32,2,0.9642,0
point,1,True,4,192,24,32,3,2.1799,1
point,1,True,4,192,24,32,4,1.1667,0
point,1,True,4,192,24,32,5,0.5529,0
point,1,True,5,384,8,96,1,0.9877,0
point,1,True,5,384,8,96,2,1.0734,0
point,1,True,5,384,8,96,3,1.0584,0
point,1,True,5,384,8,96,4,1.0735,0
point,1,True,5,384,8,96,5,1.0508,0
point,1,True,6,192,8,64,1,2.0761,1
point,1,True,6,192,8,64,2,1.2332,0
point,1,True,6,192,8,64,3,0.8156,0
point,1,True,6,192,8,64,4,2.6315,2
point,1,True,6,192,8,64,5,0.8559,0
point,1,True,7,384,16,32,1,1.7496,0
point,1,True,7,384,16,32,2,1.0624,0
point,1,True,7,384,16,32,3,1.8652,0
point,1,True,7,384,16,32,4,0.8953,0
point,1,True,7,384,16,32,5,0.991,0
point,1,True,8,768,8,96,1,3.3453,1
point,1,True,8,768,8,96,2,1.8275,0
point,1,True,8,768,8,96,3,3.1043,1
point,1,True,8,768,8,96,4,1.28,0
point,1,True,8,768,8,96,5,1.5522,0
point,1,True,9,384,24,96,1,1.6594,0
point,1,True,9,384,24,96,2,0.8651,0
point,1,True,9,384,24,96,3,1.1914,0
point,1,True,9,384,24,96,4,1.1669,0
point,1,True,9,384,24,96,5,1.1365,1
point,1,True,10,384,8,32,1,2.5646,0
point,1,True,10,384,8,32,2,1.04,0
point,1,True,10,384,8,32,3,1.2757,0
point,1,True,10,384,8,32,4,1.2682,0
point,1,True,10,384,8,32,5,0.7036,0
point,1,True,11,192,24,64,1,1.1272,0
point,1,True,11,192,24,64,2,0.7896,0
point,1,True,11,192,24,64,3,0.5771,0
point,1,True,11,192,24,64,4,0.9512,0
point,1,True,11,192,24,64,5,0.7995,0
point,1,True,12,192,8,96,1,1.3639,0
point,1,True,12,192,8,96,2,0.5917,0
point,1,True,12,192,8,96,3,0.8808,0
point,1,True,12,192,8,96,4,1.12,0
point,1,True,12,192,8,96,5,0.8718,0
point,1,True,13,192,16,96,1,0.8986,0
point,1,True,13,192,16,96,2,1.057,0
point,1,True,13,192,16,96,3,0.6804,0
point,1,True,13,192,16,96,4,0.7917,0
point,1,True,13,192,16,96,5,1.0875,0
point,1,True,14,768,16,32,1,1.5722,0
point,1,True,14,768,16,32,2,1.3604,0
point,1,True,14,768,16,32,3,1.2195,0
point,1,True,14,768,16,32,4,1.1002,0
point,1,True,14,768,16,32,5,0.9994,0
point,1,True,15,768,8,64,1,2.0444,0
point,1,True,15,768,8,64,2,1.0787,0
point,1,True,15,768,8,64,3,1.3604,1
point,1,True,15,768,8,64,4,1.5607,0
point,1,True,15,768,8,64,5,1.2602,0
point,1,True,16,384,24,32,1,1.2314,0
point,1,True,16,384,24,32,2,0.9599,0
point,1,True,16,384,24,32,3,0.8503,0
point,1,True,16,384,24,32,4,1.1577,0
point,1,True,16,384,24,32,5,0.8954,0
point,1,True,17,192,24,96,1,1.0048,0
point,1,True,17,192,24,96,2,0.5961,0
point,1,True,17,192,24,96,3,0.9568,0
point,1,True,17,192,24,96,4,0.7678,0
point,1,True,17,192,24,96,5,0.8285,0
point,1,True,18,384,16,64,1,1.6312,0
point,1,True,18,384,16,64,2,1.1359,0
point,1,True,18,384,16,64,3,1.3884,2
point,1,True,18,384,16,64,4,1.5553,0
point,1,True,18,384,16,64,5,0.9716,0
point,1,True,19,192,16,64,1,1.2234,0
point,1,True,19,192,16,64,2,0.9207,0
point,1,True,19,192,16,64,3,0.9206,0
point,1,True,19,192,16,64,4,0.6563,0
point,1,True,19,192,16,64,5,0.9923,0
point,1,True,20,384,8,64,1,1.7672,0
point,1,True,20,384,8,64,2,3.7584,2
point,1,True,20,384,8,64,3,1.2622,0
point,1,True,20,384,8,64,4,1.2708,0
point,1,True,20,384,8,64,5,1.1534,0
point,1,True,21,192,8,32,1,1.6746,0
point,1,True,21,192,8,32,2,0.7973,0
point,1,True,21,192,8,32,3,0.864,0
point,1,True,21,192,8,32,4,0.7877,0
point,1,True,21,192,8,32,5,1.1067,0
point,1,True,22,384,24,64,1,0.8939,0
point,1,True,22,384,24,64,2,1.0762,0
point,1,True,22,384,24,64,3,2.751,1
point,1,True,22,384,24,64,4,0.7604,0
point,1,True,22,384,24,64,5,0.9077,0
point,1,True,23,768,24,32,1,1.4921,0
point,1,True,23,768,24,32,2,1.623,0
point,1,True,23,768,24,32,3,1.1411,0
point,1,True,23,768,24,32,4,0.86,0
point,1,True,23,768,24,32,5,0.9445,0
point,1,True,24,768,24,64,1,0.8712,0
point,1,True,24,768,24,64,2,0.9409,0
point,1,True,24,768,24,64,3,0.8776,0
point,1,True,24,768,24,64,4,0.983,0
point,1,True,24,768,24,64,5,0.903,0
point,1,True,25,768,8,32,1,2.1246,0
point,1,True,25,768,8,32,2,1.3201,0
point,1,True,25,768,8,32,3,1.7756,0
point,1,True,25,768,8,32,4,4.4162,2
point,1,True,25,768,8,32,5,1.3086,0
point,1,True,26,768,16,64,1,1.0313,0
