cursor,block,recorded,combo_index,selection_index,A,W,EW_ratio,D,movement_time_s,errors
bubble,1,True,0,0,256,16,2,1,1.3029,1
bubble,1,True,0,1,256,16,2,1,0.8679,0
bubble,1,True,0,2,768,16,2,1,2.8643,0
bubble,1,True,0,3,512,16,2,1,3.2642,0
bubble,1,True,0,4,768,16,2,1,1.308,0
bubble,1,True,0,5,768,16,2,1,1.0169,0
bubble,1,True,0,6,512,16,2,1,0.9343,0
bubble,1,True,0,7,256,16,2,1,1.2495,1
bubble,1,True,0,8,512,16,2,1,0.9371,0
bubble,1,True,1,0,256,8,3,0.5,1.2868,0
bubble,1,True,1,1,768,8,3,0.5,1.1502,0
bubble,1,True,1,2,512,8,3,0.5,1.4026,0
bubble,1,True,1,3,768,8,3,0.5,1.5962,0
bubble,1,True,1,4,512,8,3,0.5,1.5318,0
bubble,1,True,1,5,256,8,3,0.5,1.1272,0
bubble,1,True,1,6,256,8,3,0.5,1.1926,0
bubble,1,True,1,7,768,8,3,0.5,2.0121,0
bubble,1,True,1,8,512,8,3,0.5,1.0782,0
bubble,1,True,2,0,512,16,2,0.5,1.1385,0
bubble,1,True,2,1,512,16,2,0.5,0.8478,0
bubble,1,True,2,2,256,16,2,0.5,0.9774,0
bubble,1,True,2,3,768,16,2,0.5,1.1765,0
bubble,1,True,2,4,512,16,2,0.5,1.0103,0
bubble,1,True,2,5,256,16,2,0.5,1.387,0
bubble,1,True,2,6,768,16,2,0.5,1.105,0
bubble,1,True,2,7,256,16,2,0.5,0.9692,0
bubble,1,True,2,8,768,16,2,0.5,1.1556,0
bubble,1,True,3,0,256,8,3,1,1.0971,0
bubble,1,True,3,1,256,8,3,1,1.4111,0
bubble,1,True,3,2,768,8,3,1,1.4073,0
bubble,1,True,3,3,512,8,3,1,1.1273,0
bubble,1,True,3,4,768,8,3,1,3.8814,0
bubble,1,True,3,5,256,8,3,1,1.2747,0
bubble,1,True,3,6,768,8,3,1,1.1797,0
bubble,1,True,3,7,512,8,3,1,1.2374,0
bubble,1,True,3,8,512,8,3,1,1.0474,0
bubble,1,True,4,0,768,24,3,0.5,1.1589,0
bubble,1,True,4,1,512,24,3,0.5,1.1049,0
bubble,1,True,4,2,512,24,3,0.5,1.1447,0
bubble,1,True,4,3,768,24,3,0.5,1.9918,0
bubble,1,True,4,4,256,24,3,0.5,0.7818,0
bubble,1,True,4,5,256,24,3,0.5,0.7453,0
bubble,1,True,4,6,256,24,3,0.5,0.6696,0
bubble,1,True,4,7,768,24,3,0.5,0.888,0
bubble,1,True,4,8,512,24,3,0.5,1.018,0
bubble,1,True,5,0,512,8,1.33,0.5,1.1105,0
bubble,1,True,5,1,768,8,1.33,0.5,1.3076,0
bubble,1,True,5,2,256,8,1.33,0.5,1.0407,0
bubble,1,True,5,3,768,8,1.33,0.5,1.4466,0
bubble,1,True,5,4,768,8,1.33,0.5,1.4603,0
bubble,1,True,5,5,256,8,1.33,0.5,1.279,0
bubble,1,True,5,6,512,8,1.33,0.5,1.0759,0
bubble,1,True,5,7,256,8,1.33,0.5,1.314,0
bubble,1,True,5,8,512,8,1.33,0.5,1.2153,0
bubble,1,True,6,0,768,16,2,0,1.0082,0
bubble,1,True,6,1,256,16,2,0,0.86,0
bubble,1,True,6,2,256,16,2,0,0.8622,0
bubble,1,True,6,3,768,16,2,0,1.0433,0
bubble,1,True,6,4,512,16,2,0,1.0788,0
