cursor,block,recorded,combo_index,selection_index,A,W,EW_ratio,D,movement_time_s,errors
point,1,True,0,0,256,24,2,0.5,0.8339,0
point,1,True,0,1,512,24,2,0.5,1.0434,0
point,1,True,0,2,768,24,2,0.5,0.8952,0
point,1,True,0,3,768,24,2,0.5,0.8136,0
point,1,True,0,4,256,24,2,0.5,0.693,0
point,1,True,0,5,512,24,2,0.5,0.9452,0
point,1,True,0,6,256,24,2,0.5,0.9557,1
point,1,True,0,7,768,24,2,0.5,1.0069,0
point,1,True,0,8,512,24,2,0.5,1.1929,0
point,1,True,1,0,768,24,3,1,0.9728,0
point,1,True,1,1,512,24,3,1,1.1806,0
point,1,True,1,2,768,24,3,1,1.2464,0
point,1,True,1,3,512,24,3,1,0.86,0
point,1,True,1,4,768,24,3,1,0.9591,0
point,1,True,1,5,256,24,3,1,0.8635,0
point,1,True,1,6,256,24,3,1,1.2595,1
point,1,True,1,7,512,24,3,1,0.7952,0
point,1,True,1,8,256,24,3,1,0.7545,0
point,1,True,2,0,512,16,3,1,0.8768,0
point,1,True,2,1,768,16,3,1,1.2404,0
point,1,True,2,2,768,16,3,1,1.1062,0
point,1,True,2,3,256,16,3,1,1.211,1
point,1,True,2,4,768,16,3,1,1.2235,0
point,1,True,2,5,512,16,3,1,1.1755,0
point,1,True,2,6,256,16,3,1,1.0076,0
point,1,True,2,7,256,16,3,1,1.2154,1
point,1,True,2,8,512,16,3,1,1.0623,0
point,1,True,3,0,512,8,2,0,1.4231,0
point,1,True,3,1,768,8,2,0,1.4222,0
point,1,True,3,2,256,8,2,0,1.2542,0
point,1,True,3,3,768,8,2,0,1.6223,0
point,1,True,3,4,256,8,2,0,1.4941,1
point,1,True,3,5,768,8,2,0,1.199,0
point,1,True,3,6,512,8,2,0,1.9097,2
point,1,True,3,7,512,8,2,0,0.9661,0
point,1,True,3,8,256,8,2,0,1.3744,0
point,1,True,4,0,512,16,1.33,1,1.3101,1
point,1,True,4,1,768,16,1.33,1,1.2078,0
point,1,True,4,2,256,16,1.33,1,1.0079,0
point,1,True,4,3,768,16,1.33,1,1.2789,0
point,1,True,4,4,768,16,1.33,1,1.2871,0
point,1,True,4,5,256,16,1.33,1,1.0707,0
point,1,True,4,6,512,16,1.33,1,1.2171,0
point,1,True,4,7,256,16,1.33,1,1.2156,0
point,1,True,4,8,512,16,1.33,1,1.1426,0
point,1,True,5,0,768,16,1.33,0.5,1.2259,0
point,1,True,5,1,512,16,1.33,0.5,0.8466,0
point,1,True,5,2,512,16,1.33,0.5,1.0701,0
point,1,True,5,3,768,16,1.33,0.5,1.1863,0
point,1,True,5,4,256,16,1.33,0.5,1.1852,0
point,1,True,5,5,256,16,1.33,0.5,0.994,0
point,1,True,5,6,512,16,1.33,0.5,1.1676,0
point,1,True,5,7,768,16,1.33,0.5,1.1871,0
point,1,True,5,8,256,16,1.33,0.5,1.0973,0
point,1,True,6,0,768,16,3,0.5,1.2601,0
point,1,True,6,1,512,16,3,0.5,1.2631,0
point,1,True,6,2,256,16,3,0.5,0.9395,0
point,1,True,6,3,256,16,3,0.5,0.9621,0
point,1,True,6,4,512,16,3,0.5,2.1834,2
point,1,True,6,5,512,16,3,0.5,0.8224,0
point,1,True,6,6,768,16,3,0.5,1.1053,0
point,1,True,6,7,256,16,3,0.5,1.356,1
point,1,True,6,8,768,16,3,0.5,1.3826,0
point,1,True,7,0,512,16,2,0,0.9793,0
point,1,True,7,1,256,16,2,0,0.9696,0
point,1,True,7,2,512,16,2,0,0.7816,0
point,1,True,7,3,256,16,2,0,0.9909,0
point,1,True,7,4,768,16,2,0,1.2926,0
point,1,True,7,5,768,16,2,0,0.9514,0
point,1,True,7,6,256,16,2,0,1.2146,1
point,1,True,7,7,512,16,2,0,1.2136,0
point,1,True,7,8,768,16,2,0,0.9579,0
point,1,True,8,0,256,16,3,0,1.3518,1
point,1,True,8,1,768,16,3,0,1.2937,1
point,1,True,8,2,512,16,3,0,0.8624,0
